onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	
6.0362	0.9678	1	1	7	1	COCO_train2014_000000064148.jpg	coco	6.0362	7.0040	2	5.1862
16.0116	0.9839	1	1	7	2	n03032252_36446.JPEG	rep_imagenet	16.0116	16.9955	1	2.1665
26.0033	1.0008	1	1	7	3	COCO_train2014_000000182642.jpg	coco	26.0033	27.0041	2	2.5448
36.0117	0.9841	1	1	7	4	n03680355_12358.JPEG	imagenet	36.0117	36.9958	2	1.8170
46.0035	1.0008	1	1	7	5	COCO_train2014_000000430523.jpg	coco	46.0035	47.0043	1	1.5692
56.0119	0.9841	1	1	7	6	COCO_train2014_000000445670.jpg	coco	56.0119	56.9960	2	4.1050
66.0036	1.0011	1	1	7	7	n04522168_29661.JPEG	imagenet	66.0036	67.0047	2	2.3769
76.0120	0.9841	1	1	7	8	COCO_train2014_000000174504.jpg	coco	76.0120	76.9961	2	1.4169
86.0037	1.0008	1	1	7	9	COCO_train2014_000000462505.jpg	coco	86.0037	87.0045	2	5.0646
95.9953	1.0009	1	1	7	10	COCO_train2014_000000224869.jpg	coco	95.9953	96.9962	1	1.4567
106.0039	1.0008	1	1	7	11	n02098413_13571.JPEG	imagenet	106.0039	107.0047	1	1.5445
115.9959	1.0005	1	1	7	12	bowlingalley3.jpg	scenes	115.9959	116.9964	1	1.8164
126.0040	1.0008	1	1	7	13	n04146614_5147.JPEG	imagenet	126.0040	127.0048	2	3.8483
135.9959	1.0006	1	1	7	14	n02259212_3343.JPEG	imagenet	135.9959	136.9965	1	3.9122
146.0041	1.0008	1	1	7	15	n07590611_4863.JPEG	imagenet	146.0041	147.0049	1	2.5920
155.9960	1.0007	1	1	7	16	COCO_train2014_000000488558.jpg	rep_coco	155.9960	156.9967	1	2.6479
166.0043	1.0008	1	1	7	17	COCO_train2014_000000455657.jpg	coco	166.0043	167.0051	2	2.5359
175.9960	1.0008	1	1	7	18	COCO_train2014_000000179480.jpg	coco	175.9960	176.9968	1	5.0718
186.0048	1.0004	1	1	7	19	n02092002_2572.JPEG	imagenet	186.0048	187.0052	1	1.9757
195.9961	1.0008	1	1	7	20	n03775071_13796.JPEG	imagenet	195.9961	196.9970	2	2.6635
206.0055	0.9999	1	1	7	21	COCO_train2014_000000018367.jpg	coco	206.0055	207.0054	2	3.2154
216.0130	0.9841	1	1	7	22	bikerack1.jpg	scenes	216.0130	216.9971	2	5.0392
226.0046	1.0009	1	1	7	23	horsebarn11.jpg	scenes	226.0046	227.0055	1	1.5193
236.0131	0.9842	1	1	7	24	COCO_train2014_000000521884.jpg	coco	236.0131	236.9972	2	2.3670
246.0049	1.0008	1	1	7	25	n02277742_15647.JPEG	imagenet	246.0049	247.0057	1	1.7591
255.9966	1.0008	1	1	7	26	campsite7.jpg	scenes	255.9966	256.9974	1	1.5510
266.0057	1.0001	1	1	7	27	COCO_train2014_000000047780.jpg	coco	266.0057	267.0058	1	2.1668
275.9967	1.0008	1	1	7	28	n02089973_10124.JPEG	imagenet	275.9967	276.9975	1	1.3907
286.0052	1.0007	1	1	7	29	flowershop2.jpg	scenes	286.0052	287.0059	1	1.8866
295.9968	1.0008	1	1	7	30	n04037443_34400.JPEG	imagenet	295.9968	296.9976	2	3.0385
306.0052	1.0009	1	1	7	31	n02442845_19700.JPEG	imagenet	306.0052	307.0060	1	2.0863
315.9969	1.0008	1	1	7	32	COCO_train2014_000000274776.jpg	coco	315.9969	316.9978	1	3.9503
326.0053	1.0008	1	1	7	33	COCO_train2014_000000517625.jpg	coco	326.0053	327.0062	1	4.4541
335.9971	1.0008	1	1	7	34	olympicswimmingpool.jpg	scenes	335.9971	336.9979	1	4.2140
346.0055	1.0008	1	1	7	35	fishmarket2.jpg	scenes	346.0055	347.0063	2	3.0299
355.9972	1.0008	1	1	7	36	n02871525_23062.JPEG	imagenet	355.9972	356.9980	3	2.5418
366.0056	1.0008	1	1	7	37	n03532672_3469.JPEG	imagenet	366.0056	367.0065	2	5.2533
