onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	
6.0397	0.9678	1	1	3	1	COCO_train2014_000000090569.jpg	coco	6.0397	7.0074	1	3.0228
16.0151	0.9841	1	1	3	2	COCO_train2014_000000425135.jpg	coco	16.0151	16.9992	3	2.0076
26.0081	0.9994	1	1	3	3	pasture9.jpg	scenes	26.0081	27.0075	1	2.0177
35.9984	1.0008	1	1	3	4	n01443537_2819.JPEG	imagenet	35.9984	36.9992	2	3.5698
46.0080	0.9996	1	1	3	5	tailor6.jpg	rep_scenes	46.0080	47.0076	2	3.5856
55.9985	1.0008	1	1	3	6	COCO_train2014_000000015183.jpg	coco	55.9985	56.9993	1	1.5939
66.0076	1.0001	1	1	3	7	n04179913_10794.JPEG	imagenet	66.0076	67.0077	2	4.8337
75.9986	1.0008	1	1	3	8	n03791053_3596.JPEG	imagenet	75.9986	76.9994	1	4.5295
86.0072	1.0006	1	1	3	9	n02808304_3656.JPEG	imagenet	86.0072	87.0078	2	2.1615
95.9987	1.0008	1	1	3	10	yogastudio2.jpg	scenes	95.9987	96.9995	3	2.0253
106.0075	1.0004	1	1	3	11	COCO_train2014_000000029730.jpg	coco	106.0075	107.0079	2	4.4012
115.9988	1.0008	1	1	3	12	COCO_train2014_000000184822.jpg	coco	115.9988	116.9996	2	5.0491
126.0072	1.0008	1	1	3	13	COCO_train2014_000000157342.jpg	coco	126.0072	127.0080	2	4.1769
135.9989	1.0008	1	1	3	14	n04404412_6.JPEG	imagenet	135.9989	136.9997	3	2.6488
146.0075	1.0006	1	1	3	15	horsebarn8.jpg	scenes	146.0075	147.0081	1	5.8248
155.9990	1.0009	1	1	3	16	COCO_train2014_000000152328.jpg	coco	155.9990	156.9999	2	5.1366
166.0076	1.0006	1	1	3	17	n04330267_289.JPEG	imagenet	166.0076	167.0082	1	4.2805
175.9991	1.0008	1	1	3	18	n03843555_6225.JPEG	imagenet	175.9991	176.9999	2	3.7203
186.0076	1.0008	1	1	3	19	n07745940_20689.JPEG	imagenet	186.0076	187.0083	1	2.4242
195.9992	1.0008	1	1	3	20	COCO_train2014_000000192631.jpg	coco	195.9992	197.0000	3	2.9601
206.0076	1.0008	1	1	3	21	COCO_train2014_000000346754.jpg	coco	206.0076	207.0085	2	3.0319
215.9993	1.0008	1	1	3	22	COCO_train2014_000000015249.jpg	coco	215.9993	217.0002	1	1.7839
226.0078	1.0008	1	1	3	23	COCO_train2014_000000016344.jpg	coco	226.0078	227.0085	2	1.9357
235.9995	1.0008	1	1	3	24	n04486054_12926.JPEG	imagenet	235.9995	237.0002	1	1.6476
246.0079	1.0008	1	1	3	25	n03599486_2956.JPEG	imagenet	246.0079	247.0087	2	3.7915
255.9995	1.0008	1	1	3	26	island3.jpg	scenes	255.9995	257.0004	1	1.7035
266.0080	1.0008	1	1	3	27	n04285008_1674.JPEG	imagenet	266.0080	267.0088	3	2.3832
275.9997	1.0008	1	1	3	28	COCO_train2014_000000461208.jpg	coco	275.9997	277.0005	2	5.2391
286.0081	1.0008	1	1	3	29	n02096177_2820.JPEG	imagenet	286.0081	287.0089	1	1.5270
295.9998	1.0008	1	1	3	30	n04515003_31186.JPEG	imagenet	295.9998	297.0006	1	1.4629
306.0082	1.0008	1	1	3	31	exerciseequipment5.jpg	scenes	306.0082	307.0090	3	2.5828
315.9999	1.0008	1	1	3	32	theater3.jpg	scenes	315.9999	317.0007	1	2.1587
326.0083	1.0008	1	1	3	33	igloo5.jpg	scenes	326.0083	327.0091	1	1.6226
336.0000	1.0008	1	1	3	34	COCO_train2014_000000224396.jpg	coco	336.0000	337.0008	2	4.7263
346.0087	1.0005	1	1	3	35	n04254120_981.JPEG	imagenet	346.0087	347.0092	2	2.8382
356.0001	1.0008	1	1	3	36	sidewalk1.jpg	rep_scenes	356.0001	357.0009	1	2.5821
366.0085	1.0008	1	1	3	37	COCO_train2014_000000166504.jpg	coco	366.0085	367.0093	2	3.4620
