onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	
6.0367	0.9678	1	1	1	1	n01930112_19568.JPEG	imagenet	6.0367	7.0045	2	3.6309
16.0122	0.9837	1	1	1	2	n03733281_29214.JPEG	imagenet	16.0122	16.9959	2	4.2031
26.0037	1.0009	1	1	1	3	n07695742_5848.JPEG	imagenet	26.0037	27.0046	1	1.8948
36.0121	0.9844	1	1	1	4	COCO_train2014_000000420713.jpg	coco	36.0121	36.9965	1	2.4701
46.0038	1.0008	1	1	1	5	COCO_train2014_000000488558.jpg	coco	46.0038	47.0046	1	2.8065
56.0122	0.9843	1	1	1	6	n01917289_1429.JPEG	imagenet	56.0122	56.9965	1	3.6220
66.0040	1.0008	1	1	1	7	n02108551_26574.JPEG	imagenet	66.0040	67.0047	1	1.4464
75.9953	1.0011	1	1	1	8	COCO_train2014_000000029114.jpg	coco	75.9953	76.9964	1	1.8382
86.0041	1.0007	1	1	1	9	n02111277_28582.JPEG	imagenet	86.0041	87.0048	1	1.9422
95.9955	1.0011	1	1	1	10	concert5.jpg	scenes	95.9955	96.9965	3	2.2059
106.0041	1.0008	1	1	1	11	COCO_train2014_000000539340.jpg	coco	106.0041	107.0049	1	1.9415
115.9956	1.0011	1	1	1	12	COCO_train2014_000000176728.jpg	coco	115.9956	116.9966	2	5.5897
126.0042	1.0009	1	1	1	13	garbagedump3.jpg	scenes	126.0042	127.0051	3	1.6776
135.9957	1.0011	1	1	1	14	fabricstore1.jpg	scenes	135.9957	136.9968	2	3.6295
146.0043	1.0008	1	1	1	15	track3.jpg	scenes	146.0043	147.0051	2	1.7893
155.9963	1.0005	1	1	1	16	COCO_train2014_000000531657.jpg	coco	155.9963	156.9969	2	2.2131
166.0044	1.0008	1	1	1	17	COCO_train2014_000000032271.jpg	coco	166.0044	167.0053	1	2.3011
175.9976	0.9994	1	1	1	18	n04099969_6395.JPEG	imagenet	175.9976	176.9970	3	5.4209
186.0046	1.0007	1	1	1	19	COCO_train2014_000000285450.jpg	coco	186.0046	187.0054	1	4.5247
195.9965	1.0006	1	1	1	20	COCO_train2014_000000211198.jpg	coco	195.9965	196.9971	2	5.0766
206.0047	1.0007	1	1	1	21	COCO_train2014_000000431764.jpg	coco	206.0047	207.0055	2	1.8046
215.9966	1.0006	1	1	1	22	n02747177_3947.JPEG	imagenet	215.9966	216.9972	2	1.8606
226.0047	1.0008	1	1	1	23	COCO_train2014_000000323936.jpg	coco	226.0047	227.0056	1	2.0523
235.9966	1.0007	1	1	1	24	church6.jpg	scenes	235.9966	236.9973	2	4.7241
246.0049	1.0008	1	1	1	25	n04371430_12487.JPEG	imagenet	246.0049	247.0057	3	2.3800
255.9967	1.0007	1	1	1	26	n01914609_785.JPEG	imagenet	255.9967	256.9974	1	1.4680
266.0057	1.0000	1	1	1	27	COCO_train2014_000000442793.jpg	coco	266.0057	267.0058	2	5.2358
275.9967	1.0008	1	1	1	28	n02655020_1972.JPEG	imagenet	275.9967	276.9975	1	1.7717
286.0055	1.0004	1	1	1	29	n04286575_5757.JPEG	imagenet	286.0055	287.0059	2	2.7556
295.9968	1.0008	1	1	1	30	COCO_train2014_000000325346.jpg	coco	295.9968	296.9976	1	1.6996
306.0056	1.0004	1	1	1	31	COCO_train2014_000000113449.jpg	rep_coco	306.0056	307.0060	2	5.2033
315.9969	1.0008	1	1	1	32	n02966193_63.JPEG	imagenet	315.9969	316.9977	3	1.9154
326.0058	1.0003	1	1	1	33	n01641577_1229.JPEG	rep_imagenet	326.0058	327.0061	1	2.5710
335.9970	1.0008	1	1	1	34	n02443114_11782.JPEG	imagenet	335.9970	336.9978	1	1.4910
346.0056	1.0006	1	1	1	35	elevatorOutside2.jpg	scenes	346.0056	347.0062	2	3.3708
355.9971	1.0008	1	1	1	36	COCO_train2014_000000271568.jpg	coco	355.9971	356.9979	3	2.7707
366.0056	1.0007	1	1	1	37	homegarage4.jpg	scenes	366.0056	367.0063	2	4.2505
