onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	
6.0316	0.9677	1	1	5	1	n03929660_7201.JPEG	imagenet	6.0316	6.9993	3	2.2213
16.0069	1.0009	1	1	5	2	n04263257_8347.JPEG	imagenet	16.0069	17.0078	1	2.0852
25.9986	1.0005	1	1	5	3	n04149813_6373.JPEG	imagenet	25.9986	26.9991	2	5.0314
36.0077	0.9998	1	1	5	4	COCO_train2014_000000322246.jpg	coco	36.0077	37.0075	1	1.8794
45.9987	1.0005	1	1	5	5	n04285008_3538.JPEG	imagenet	45.9987	46.9992	3	3.1515
56.0071	1.0005	1	1	5	6	COCO_train2014_000000003521.jpg	coco	56.0071	57.0076	2	4.7433
65.9988	1.0005	1	1	5	7	highway7.jpg	scenes	65.9988	66.9993	3	1.9434
76.0072	1.0005	1	1	5	8	n02823428_4996.JPEG	imagenet	76.0072	77.0077	3	2.6391
85.9987	1.0008	1	1	5	9	COCO_train2014_000000081042.jpg	coco	85.9987	86.9994	1	3.8390
96.0085	0.9993	1	1	5	10	COCO_train2014_000000391892.jpg	coco	96.0085	97.0078	1	2.2629
105.9991	1.0005	1	1	5	11	n02099849_1115.JPEG	imagenet	105.9991	106.9995	1	1.3989
116.0074	1.0005	1	1	5	12	n01978455_7445.JPEG	imagenet	116.0074	117.0079	2	2.8786
125.9991	1.0005	1	1	5	13	COCO_train2014_000000397815.jpg	coco	125.9991	126.9996	3	4.0465
136.0075	1.0005	1	1	5	14	greenhouse.jpg	scenes	136.0075	137.0080	1	1.8305
145.9992	1.0005	1	1	5	15	COCO_train2014_000000363084.jpg	coco	145.9992	146.9998	1	1.6784
156.0076	1.0005	1	1	5	16	COCO_train2014_000000404007.jpg	coco	156.0076	157.0081	1	1.7583
165.9993	1.0005	1	1	5	17	COCO_train2014_000000195027.jpg	coco	165.9993	166.9998	3	4.1500
176.0078	1.0005	1	1	5	18	COCO_train2014_000000347133.jpg	coco	176.0078	177.0082	2	1.9979
185.9995	1.0005	1	1	5	19	driveway6.jpg	scenes	185.9995	187.0000	3	4.3258
196.0079	1.0005	1	1	5	20	n01698640_3315.JPEG	imagenet	196.0079	197.0084	3	2.1737
205.9995	1.0005	1	1	5	21	n02110958_4869.JPEG	imagenet	205.9995	207.0001	1	1.8056
216.0080	1.0005	1	1	5	22	COCO_train2014_000000470999.jpg	rep_coco	216.0080	217.0084	3	5.1254
225.9996	1.0005	1	1	5	23	highway.jpg	scenes	225.9996	227.0002	3	1.9174
236.0081	1.0006	1	1	5	24	sculpturegarden1.jpg	scenes	236.0081	237.0086	1	2.1971
245.9997	1.0006	1	1	5	25	COCO_train2014_000000412200.jpg	coco	245.9997	247.0003	2	3.3650
256.0082	1.0005	1	1	5	26	lightingstore3.jpg	scenes	256.0082	257.0087	2	6.3649
265.9999	1.0006	1	1	5	27	n02730930_15556.JPEG	imagenet	265.9999	267.0005	2	3.4528
276.0083	1.0005	1	1	5	28	COCO_train2014_000000559145.jpg	coco	276.0083	277.0088	2	6.3166
286.0000	1.0005	1	1	5	29	n02138441_4996.JPEG	imagenet	286.0000	287.0005	1	1.5327
296.0084	1.0005	1	1	5	30	n01843065_640.JPEG	rep_imagenet	296.0084	297.0089	1	1.9405
306.0001	1.0005	1	1	5	31	COCO_train2014_000000194108.jpg	coco	306.0001	307.0006	3	3.0123
316.0085	1.0005	1	1	5	32	n07873807_318.JPEG	imagenet	316.0085	317.0090	1	1.9643
326.0002	1.0006	1	1	5	33	staircase6.jpg	scenes	326.0002	327.0007	2	2.8120
336.0086	1.0005	1	1	5	34	COCO_train2014_000000031053.jpg	coco	336.0086	337.0091	2	2.9401
346.0003	1.0005	1	1	5	35	n03223299_27176.JPEG	imagenet	346.0003	347.0008	1	1.9239
356.0087	1.0005	1	1	5	36	COCO_train2014_000000173883.jpg	coco	356.0087	357.0092	1	3.2198
366.0004	1.0005	1	1	5	37	n02002724_1411.JPEG	imagenet	366.0004	367.0009	1	1.6597
