onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	
6.0341	0.9674	1	1	4	1	n03201208_7071.JPEG	rep_imagenet	6.0341	7.0015	2	4.2838
16.0106	0.9996	1	1	4	2	COCO_train2014_000000085122.jpg	coco	16.0106	17.0102	1	2.3186
26.0010	1.0008	1	1	4	3	COCO_train2014_000000383641.jpg	coco	26.0010	27.0019	1	1.6566
36.0095	1.0008	1	1	4	4	island1.jpg	scenes	36.0095	37.0103	1	1.5607
46.0012	1.0008	1	1	4	5	COCO_train2014_000000338169.jpg	coco	46.0012	47.0020	2	2.5607
56.0096	1.0008	1	1	4	6	stripmall.jpg	scenes	56.0096	57.0104	3	2.0486
66.0013	1.0008	1	1	4	7	coralreef5.jpg	scenes	66.0013	67.0021	1	1.6802
76.0097	1.0008	1	1	4	8	n13052670_4260.JPEG	imagenet	76.0097	77.0105	2	4.6244
86.0014	1.0008	1	1	4	9	n02483708_6086.JPEG	imagenet	86.0014	87.0022	2	2.4082
96.0098	1.0008	1	1	4	10	n02137549_4123.JPEG	imagenet	96.0098	97.0106	1	2.0081
106.0015	1.0008	1	1	4	11	COCO_train2014_000000278714.jpg	coco	106.0015	107.0023	1	1.5841
116.0099	1.0008	1	1	4	12	COCO_train2014_000000523272.jpg	rep_coco	116.0099	117.0107	1	2.3358
126.0016	1.0008	1	1	4	13	COCO_train2014_000000531828.jpg	coco	126.0016	127.0024	1	1.7438
136.0100	1.0008	1	1	4	14	COCO_train2014_000000137706.jpg	coco	136.0100	137.0108	1	1.8317
146.0017	1.0008	1	1	4	15	COCO_train2014_000000253550.jpg	coco	146.0017	147.0025	3	4.3515
156.0101	1.0008	1	1	4	16	n03535780_11387.JPEG	imagenet	156.0101	157.0109	2	2.3593
166.0018	1.0008	1	1	4	17	n03841143_2896.JPEG	imagenet	166.0018	167.0026	2	2.1912
176.0102	0.9844	1	1	4	18	COCO_train2014_000000103366.jpg	coco	176.0102	176.9946	2	1.7912
186.0020	1.0008	1	1	4	19	church8.jpg	scenes	186.0020	187.0028	2	3.1670
196.0104	0.9842	1	1	4	20	COCO_train2014_000000135032.jpg	coco	196.0104	196.9945	1	1.8469
206.0020	1.0008	1	1	4	21	COCO_train2014_000000558278.jpg	coco	206.0020	207.0029	1	4.0226
216.0105	0.9841	1	1	4	22	sidewalk3.jpg	scenes	216.0105	216.9945	3	2.9026
226.0022	1.0008	1	1	4	23	elevatorOutside3.jpg	scenes	226.0022	227.0030	2	2.2785
236.0106	0.9847	1	1	4	24	COCO_train2014_000000055090.jpg	coco	236.0106	236.9953	1	4.6864
246.0023	1.0009	1	1	4	25	n02443114_7290.JPEG	imagenet	246.0023	247.0031	1	2.2302
256.0107	0.9846	1	1	4	26	n04597913_2666.JPEG	imagenet	256.0107	256.9953	2	3.0861
266.0024	1.0008	1	1	4	27	n02423022_2032.JPEG	imagenet	266.0024	267.0032	1	2.0620
276.0108	0.9847	1	1	4	28	n03146219_2343.JPEG	imagenet	276.0108	276.9955	2	2.9979
286.0025	1.0008	1	1	4	29	n02793495_4736.JPEG	imagenet	286.0025	287.0033	1	1.7898
296.0109	0.9842	1	1	4	30	n03769881_3263.JPEG	imagenet	296.0109	296.9951	3	2.7816
306.0026	1.0008	1	1	4	31	n03877845_13042.JPEG	imagenet	306.0026	307.0034	1	1.8936
316.0110	0.9842	1	1	4	32	n01631663_4901.JPEG	imagenet	316.0110	316.9952	2	1.9575
326.0027	1.0008	1	1	4	33	COCO_train2014_000000231572.jpg	coco	326.0027	327.0035	1	3.0373
336.0111	0.9843	1	1	4	34	COCO_train2014_000000162230.jpg	coco	336.0111	336.9954	1	1.8212
346.0028	1.0008	1	1	4	35	n03729826_15069.JPEG	imagenet	346.0028	347.0036	2	1.9651
356.0112	0.9841	1	1	4	36	carmechanic4.jpeg	scenes	356.0112	356.9953	3	2.4609
366.0029	1.0008	1	1	4	37	COCO_train2014_000000243839.jpg	coco	366.0029	367.0037	2	3.6608
