onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	
6.0243	0.9845	1	1	6	1	COCO_train2014_000000069705.jpg	coco	6.0243	7.0087	1	2.1417
15.9996	1.0009	1	1	6	2	cafeteria1.jpg	scenes	15.9996	17.0005	3	3.4065
26.0080	1.0008	1	1	6	3	n01687978_468.JPEG	imagenet	26.0080	27.0088	2	1.6246
35.9998	1.0008	1	1	6	4	n04149813_8849.JPEG	imagenet	35.9998	37.0006	3	2.6485
46.0082	1.0008	1	1	6	5	COCO_train2014_000000223319.jpg	coco	46.0082	47.0090	2	4.6568
56.0000	1.0008	1	1	6	6	n01981276_3580.JPEG	imagenet	56.0000	57.0008	2	3.3527
66.0084	1.0008	1	1	6	7	COCO_train2014_000000574735.jpg	coco	66.0084	67.0092	2	2.7367
76.0001	1.0008	1	1	6	8	COCO_train2014_000000444018.jpg	coco	76.0001	77.0009	2	2.2726
86.0085	1.0008	1	1	6	9	n04251144_16391.JPEG	imagenet	86.0085	87.0093	2	2.4004
96.0003	1.0008	1	1	6	10	COCO_train2014_000000119550.jpg	coco	96.0003	97.0011	1	3.5124
106.0087	1.0008	1	1	6	11	COCO_train2014_000000325079.jpg	coco	106.0087	107.0095	3	2.4964
116.0005	1.0008	1	1	6	12	n02437312_9772.JPEG	imagenet	116.0005	117.0013	1	1.5602
126.0089	1.0008	1	1	6	13	n03529860_6834.JPEG	imagenet	126.0089	127.0097	3	3.6082
136.0006	1.0008	1	1	6	14	lab5.jpg	scenes	136.0006	137.0014	2	2.0400
146.0090	1.0008	1	1	6	15	COCO_train2014_000000222921.jpg	coco	146.0090	147.0098	1	2.4719
156.0007	1.0009	1	1	6	16	COCO_train2014_000000110142.jpg	coco	156.0007	157.0016	2	2.9198
166.0092	1.0008	1	1	6	17	COCO_train2014_000000499730.jpg	coco	166.0092	167.0100	2	3.8958
176.0010	1.0008	1	1	6	18	n02106166_11132.JPEG	imagenet	176.0010	177.0017	3	1.8397
186.0094	1.0008	1	1	6	19	n03535780_40946.JPEG	imagenet	186.0094	187.0102	2	3.3035
196.0011	1.0008	1	1	6	20	COCO_train2014_000000396550.jpg	coco	196.0011	197.0019	1	1.7755
206.0095	1.0008	1	1	6	21	n02699494_2194.JPEG	imagenet	206.0095	207.0103	2	2.8714
216.0012	1.0008	1	1	6	22	COCO_train2014_000000006765.jpg	coco	216.0012	217.0021	2	4.5752
226.0097	1.0008	1	1	6	23	warehouse1.jpg	scenes	226.0097	227.0105	3	2.0391
236.0014	1.0008	1	1	6	24	COCO_train2014_000000265150.jpg	coco	236.0014	237.0022	1	2.0390
246.0098	1.0008	1	1	6	25	balconyOUT.jpg	scenes	246.0098	247.0107	3	3.2789
256.0016	1.0009	1	1	6	26	COCO_train2014_000000027030.jpg	coco	256.0016	257.0024	1	1.9348
266.0100	1.0008	1	1	6	27	COCO_train2014_000000469754.jpg	coco	266.0100	267.0108	1	1.8868
276.0017	1.0008	1	1	6	28	trainStation1.jpg	scenes	276.0017	277.0025	1	2.3186
286.0102	1.0008	1	1	6	29	n01796340_19749.JPEG	rep_imagenet	286.0102	287.0110	1	1.5826
296.0019	1.0008	1	1	6	30	n03992509_3521.JPEG	imagenet	296.0019	297.0027	2	3.6225
306.0103	0.9842	1	1	6	31	n02113186_12121.JPEG	imagenet	306.0103	306.9945	1	2.3023
316.0021	1.0008	1	1	6	32	COCO_train2014_000000191686.jpg	rep_coco	316.0021	317.0028	2	3.1344
326.0105	0.9841	1	1	6	33	gasstation8.jpg	scenes	326.0105	326.9946	3	2.3501
336.0022	1.0008	1	1	6	34	n02835271_12743.JPEG	imagenet	336.0022	337.0030	2	2.1340
346.0106	0.9846	1	1	6	35	n02823750_472.JPEG	imagenet	346.0106	346.9952	2	2.2619
356.0023	1.0008	1	1	6	36	diner11.jpg	scenes	356.0023	357.0031	2	1.8539
366.0108	0.9848	1	1	6	37	n01534433_436.JPEG	imagenet	366.0108	366.9955	1	1.8138
