onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	
6.0396	0.9678	1	1	10	1	n07734744_18382.JPEG	imagenet	6.0396	7.0074	2	2.8944
16.0150	0.9841	1	1	10	2	COCO_train2014_000000073172.jpg	coco	16.0150	16.9991	3	5.9990
26.0066	1.0008	1	1	10	3	pharmacy4.jpg	scenes	26.0066	27.0074	2	5.8893
35.9983	1.0008	1	1	10	4	bakerykitchen.jpg	scenes	35.9983	36.9992	1	1.9293
46.0086	0.9989	1	1	10	5	n07711569_4744.JPEG	imagenet	46.0086	47.0076	3	2.7051
55.9984	1.0008	1	1	10	6	wrestlingring6.jpg	scenes	55.9984	56.9993	3	3.2973
66.0069	1.0007	1	1	10	7	COCO_train2014_000000142958.jpg	coco	66.0069	67.0076	3	1.9692
75.9985	1.0009	1	1	10	8	n03709823_25687.JPEG	imagenet	75.9985	76.9994	2	1.9371
86.0069	1.0008	1	1	10	9	n04136333_2487.JPEG	rep_imagenet	86.0069	87.0078	1	2.3689
95.9986	1.0009	1	1	10	10	n02667093_944.JPEG	imagenet	95.9986	96.9995	2	2.3687
106.0077	1.0002	1	1	10	11	COCO_train2014_000000274685.jpg	coco	106.0077	107.0079	2	5.3368
115.9987	1.0009	1	1	10	12	n07715103_12793.JPEG	imagenet	115.9987	116.9996	3	3.1206
126.0071	1.0008	1	1	10	13	COCO_train2014_000000090201.jpg	coco	126.0071	127.0080	3	2.0003
135.9988	1.0009	1	1	10	14	COCO_train2014_000000474157.jpg	coco	135.9988	136.9997	1	1.8164
146.0084	0.9997	1	1	10	15	COCO_train2014_000000546147.jpg	coco	146.0084	147.0081	1	2.2082
155.9989	1.0009	1	1	10	16	n01873310_15823.JPEG	imagenet	155.9989	156.9998	1	1.7363
166.0079	1.0003	1	1	10	17	COCO_train2014_000000190566.jpg	coco	166.0079	167.0082	2	1.9760
175.9991	1.0008	1	1	10	18	n01688243_1815.JPEG	imagenet	175.9991	176.9999	1	2.3438
186.0075	1.0008	1	1	10	19	n02110341_1478.JPEG	imagenet	186.0075	187.0083	1	1.7997
195.9992	1.0009	1	1	10	20	n01914609_1551.JPEG	imagenet	195.9992	197.0000	2	3.3035
206.0080	1.0004	1	1	10	21	windmill2.jpg	scenes	206.0080	207.0084	1	1.6075
215.9994	1.0008	1	1	10	22	n02641379_15161.JPEG	imagenet	215.9994	217.0001	2	6.6873
226.0082	1.0003	1	1	10	23	COCO_train2014_000000291599.jpg	coco	226.0082	227.0085	1	1.7354
235.9994	1.0008	1	1	10	24	n02095570_3254.JPEG	imagenet	235.9994	237.0002	1	2.7191
246.0078	1.0008	1	1	10	25	n07742313_20683.JPEG	imagenet	246.0078	247.0086	2	2.7909
255.9996	1.0008	1	1	10	26	ice_rink10.jpg	scenes	255.9996	257.0004	2	4.9668
266.0080	1.0008	1	1	10	27	n04523525_23943.JPEG	imagenet	266.0080	267.0088	3	6.6146
275.9997	1.0008	1	1	10	28	COCO_train2014_000000468394.jpg	coco	275.9997	277.0005	2	2.0466
286.0081	1.0008	1	1	10	29	COCO_train2014_000000312003.jpg	coco	286.0081	287.0088	3	2.8385
295.9998	1.0008	1	1	10	30	n02808304_3656.JPEG	rep_imagenet	295.9998	297.0006	2	1.8146
306.0082	1.0008	1	1	10	31	COCO_train2014_000000434069.jpg	coco	306.0082	307.0090	3	2.5423
315.9999	1.0008	1	1	10	32	hospitalroom6.jpg	scenes	315.9999	317.0007	2	4.4382
326.0083	1.0008	1	1	10	33	COCO_train2014_000000219294.jpg	coco	326.0083	327.0091	3	4.4540
336.0000	1.0008	1	1	10	34	n04557648_10553.JPEG	imagenet	336.0000	337.0008	2	2.8060
346.0084	1.0008	1	1	10	35	onboat7.jpg	scenes	346.0084	347.0092	1	2.6220
356.0001	1.0008	1	1	10	36	COCO_train2014_000000498615.jpg	coco	356.0001	357.0009	3	2.1656
366.0085	1.0008	1	1	10	37	COCO_train2014_000000166082.jpg	coco	366.0085	367.0093	1	1.7656
