onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	
6.0318	0.9674	1	1	9	1	n03255030_1114.JPEG	imagenet	6.0318	6.9993	1	1.9265
16.0072	1.0008	1	1	9	2	COCO_train2014_000000084529.jpg	coco	16.0072	17.0079	3	2.1105
25.9988	1.0008	1	1	9	3	COCO_train2014_000000493578.jpg	coco	25.9988	26.9996	2	1.7688
36.0079	1.0001	1	1	9	4	COCO_train2014_000000328036.jpg	coco	36.0079	37.0080	1	1.5205
45.9989	1.0008	1	1	9	5	n04447861_7728.JPEG	imagenet	45.9989	46.9997	2	3.0410
56.0082	0.9999	1	1	9	6	COCO_train2014_000000369230.jpg	coco	56.0082	57.0081	1	1.8489
65.9990	1.0008	1	1	9	7	COCO_train2014_000000505420.jpg	coco	65.9990	66.9998	2	5.4327
76.0074	1.0008	1	1	9	8	COCO_train2014_000000472865.jpg	coco	76.0074	77.0082	1	2.6966
85.9992	1.0008	1	1	9	9	desertvegetation5.jpg	scenes	85.9992	87.0000	3	2.1765
96.0076	1.0008	1	1	9	10	n04612504_3286.JPEG	imagenet	96.0076	97.0084	2	2.6405
105.9993	1.0008	1	1	9	11	n01698640_11544.JPEG	imagenet	105.9993	107.0001	3	2.7042
116.0077	1.0008	1	1	9	12	n04162706_15212.JPEG	imagenet	116.0077	117.0085	2	3.9202
125.9995	1.0008	1	1	9	13	COCO_train2014_000000439576.jpg	coco	125.9995	127.0002	2	2.8000
136.0078	1.0008	1	1	9	14	COCO_train2014_000000476380.jpg	coco	136.0078	137.0086	1	2.0159
145.9995	1.0008	1	1	9	15	n03017168_3695.JPEG	imagenet	145.9995	147.0004	3	2.8558
156.0079	1.0008	1	1	9	16	museum5.jpg	scenes	156.0079	157.0088	1	1.5037
165.9997	1.0008	1	1	9	17	restaurant11.jpg	scenes	165.9997	167.0005	1	1.9196
176.0081	1.0008	1	1	9	18	COCO_train2014_000000009983.jpg	coco	176.0081	177.0089	2	6.4314
185.9998	1.0008	1	1	9	19	COCO_train2014_000000335063.jpg	coco	185.9998	187.0006	1	3.4074
196.0085	1.0005	1	1	9	20	n02108000_6192.JPEG	imagenet	196.0085	197.0090	1	1.5114
205.9999	1.0008	1	1	9	21	n03623198_3026.JPEG	rep_imagenet	205.9999	207.0007	1	1.9673
216.0083	1.0008	1	1	9	22	COCO_train2014_000000520259.jpg	coco	216.0083	217.0091	2	2.6070
226.0001	1.0008	1	1	9	23	n04335435_10063.JPEG	imagenet	226.0001	227.0008	2	3.5989
236.0085	1.0008	1	1	9	24	n02974003_850.JPEG	imagenet	236.0085	237.0093	3	1.9588
246.0002	1.0008	1	1	9	25	boardwalk4.jpg	rep_scenes	246.0002	247.0010	1	1.6467
256.0086	1.0008	1	1	9	26	ATM2.jpg	scenes	256.0086	257.0094	2	4.1104
266.0003	1.0008	1	1	9	27	COCO_train2014_000000041340.jpg	coco	266.0003	267.0011	2	5.7504
276.0087	1.0008	1	1	9	28	COCO_train2014_000000012795.jpg	coco	276.0087	277.0095	2	1.4624
286.0004	1.0008	1	1	9	29	n03958227_1754.JPEG	imagenet	286.0004	287.0012	3	2.4702
296.0088	1.0008	1	1	9	30	baggageClaim4.jpg	scenes	296.0088	297.0096	3	2.0700
306.0005	1.0008	1	1	9	31	n01883070_9183.JPEG	imagenet	306.0005	307.0013	1	1.6060
316.0089	1.0008	1	1	9	32	COCO_train2014_000000151414.jpg	coco	316.0089	317.0097	1	1.3899
326.0007	1.0008	1	1	9	33	n02860847_9221.JPEG	imagenet	326.0007	327.0015	2	3.4617
336.0091	1.0008	1	1	9	34	n04590129_6733.JPEG	imagenet	336.0091	337.0099	3	1.9259
346.0008	1.0008	1	1	9	35	conference1.jpg	scenes	346.0008	347.0016	3	3.1895
356.0092	1.0008	1	1	9	36	deck1.jpg	scenes	356.0092	357.0100	1	2.4214
366.0009	1.0008	1	1	9	37	n02494079_6061.JPEG	imagenet	366.0009	367.0017	1	1.9813
